,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,Onalaska,90,US,1552699550,59,43.88,-91.23,33.8,14.99
272,Fort Nelson,75,CA,1552694400,26,58.81,-122.69,42.8,11.41
273,Mahajanga,20,MG,1552694400,83,-15.72,46.32,80.6,4.7
274,Dickinson,90,US,1552699510,80,46.88,-102.79,33.01,6.93
275,Ulladulla,40,AU,1552699026,60,-35.36,150.48,73.4,14.99
276,Clyde River,1,CA,1552698000,82,70.47,-68.59,-25.61,3.36
277,Rawson,68,AR,1552699660,96,-43.3,-65.11,61.86,6.17
278,Petrykiv,80,UA,1552699661,93,49.53,25.58,35.67,12.77
279,Kharp,36,RU,1552699663,45,66.82,65.8,-7.22,3.71
280,Bereda,90,ES,1552699439,100,43.27,-7.54,43.0,2.24
281,Richards Bay,44,ZA,1552699665,99,-28.77,32.06,69.92,3.15
282,Faya,0,SA,1552698000,87,18.39,42.45,59.0,10.29
283,Araouane,0,ML,1552699667,20,18.9,-3.53,62.27,7.96
284,Sosnogorsk,8,RU,1552699669,76,63.59,53.93,9.21,6.4
285,Norman Wells,5,CA,1552698000,49,65.28,-126.83,24.8,6.93
286,Port Pirie,0,AU,1552694400,47,-33.18,138.01,75.2,5.82
287,El Dorado,76,VE,1552699675,65,6.71,-61.64,80.54,3.94
288,Neuquen,75,AR,1552698000,72,-38.95,-68.06,62.6,10.42
289,Pocone,20,BR,1552699586,76,-16.26,-56.62,80.13,1.48
290,Tura,92,IN,1552699679,82,25.52,90.21,65.42,5.39
291,Solton,48,RU,1552699680,63,52.84,86.48,24.6,5.95
292,Roebourne,0,AU,1552699681,35,-20.77,117.15,88.19,11.88
293,Usinsk,44,RU,1552699685,75,66.0,57.56,-0.02,4.94
294,Touros,75,BR,1552698000,94,-5.2,-35.46,77.0,3.36
295,Champerico,75,MX,1552696800,65,16.38,-93.6,80.6,23.04
296,Anito,0,PH,1552699689,96,12.45,125.29,80.13,11.54
297,Severo-Kurilsk,88,RU,1552699657,100,50.68,156.12,27.03,10.87
298,Fort-Shevchenko,92,KZ,1552699691,80,44.51,50.26,45.12,12.44
299,San Quintin,0,PH,1552699470,72,17.54,120.52,74.46,3.71
300,Beinamar,0,TD,1552699693,69,8.67,15.38,72.39,2.93
301,Ribeira Grande,36,PT,1552699622,95,38.52,-28.7,61.91,18.03
302,Blagoveshchenka,0,RU,1552699696,76,52.83,79.87,20.55,9.19
303,Sinnamary,88,GF,1552699697,91,5.38,-52.96,80.94,11.21
304,Bosaso,0,SO,1552699698,100,11.28,49.18,77.07,7.63
305,Hobyo,92,SO,1552699699,84,5.35,48.53,78.92,10.65
306,Turukhansk,0,RU,1552699701,57,65.8,87.96,-6.27,6.73
307,Ajdabiya,88,LY,1552699702,80,30.75,20.22,57.86,10.42
308,Severo-Yeniseyskiy,64,RU,1552699703,92,60.37,93.04,31.67,2.59
309,Namibe,32,AO,1552699651,98,-15.19,12.15,79.82,6.96
310,Pangnirtung,56,CA,1552699705,80,66.15,-65.72,-5.15,0.69
311,Eureka,1,US,1552699506,71,40.8,-124.16,57.99,5.82
312,Klyuchi,12,RU,1552699708,85,52.25,79.17,23.52,9.53
313,Pokoynoye,92,RU,1552699709,85,44.81,44.25,38.37,5.73
314,Andapa,24,MG,1552699710,97,-14.66,49.65,66.86,2.15
315,Ketchikan,90,US,1552697760,70,55.34,-131.65,44.6,18.34
316,Dingle,12,PH,1552699647,74,11.0,122.67,78.15,12.66
317,Katobu,92,ID,1552699713,100,-4.94,122.53,75.45,3.38
318,Fukue,75,JP,1552699444,66,35.03,136.69,55.99,16.11
319,Launceston,75,AU,1552699568,59,-41.43,147.14,71.01,6.93
320,Katsuura,40,JP,1552699271,73,33.93,134.5,50.0,18.34
321,Wajid,0,SO,1552699721,55,3.81,43.25,75.86,10.2
322,Savannah Bight,0,HN,1552699722,90,16.45,-85.85,81.39,25.08
323,Landskrona,75,SE,1552699625,93,55.87,12.83,39.99,12.75
324,Inuvik,20,CA,1552698000,52,68.36,-133.71,15.8,3.36
325,Mesyagutovo,0,RU,1552699726,77,55.53,58.24,8.54,7.07
326,Batken,12,KG,1552699730,74,40.06,70.82,36.44,2.59
327,Souillac,90,FR,1552699629,93,45.6,-0.6,51.01,6.93
328,Finschhafen,80,PG,1552699732,88,-6.6,147.85,77.39,3.15
329,Velizh,64,RU,1552699733,84,55.61,31.2,32.84,19.82
330,Anadyr,75,RU,1552699388,77,64.73,177.51,1.4,2.24
331,Jiaxing,48,CN,1552699686,71,30.76,120.75,57.0,4.47
332,Oranjemund,92,ZA,1552699158,94,-28.55,16.43,64.38,3.38
333,Howell,75,US,1552699738,82,40.17,-74.19,69.8,12.75
334,Bud,12,NO,1552699200,59,62.91,6.91,35.6,17.22
335,Santa Marta,40,CO,1552699603,69,11.24,-74.21,84.0,13.87
336,Middle Island,90,US,1552699726,87,40.88,-72.94,55.99,12.75
337,Sangar,0,RU,1552699744,63,63.92,127.47,-4.07,3.6
338,Lubango,24,AO,1552699519,97,-14.92,13.49,64.61,2.15
339,Durazno,64,UY,1552699496,77,-33.38,-56.52,73.02,12.21
340,Jalu,0,LY,1552699747,78,29.03,21.55,54.12,10.54
341,Hay River,75,CA,1552698000,69,60.82,-115.79,33.8,5.82
342,Otane,24,NZ,1552698556,58,-39.89,176.62,78.01,1.01
343,Port Hardy,90,CA,1552698000,76,50.7,-127.42,48.2,12.75
344,Serenje,48,ZM,1552699752,96,-13.23,30.22,64.2,1.92
345,Sioux Lookout,90,CA,1552694520,73,50.1,-91.92,21.2,5.82
346,Vrangel,0,RU,1552699754,99,42.73,133.08,34.37,11.32
347,Bowen,24,AU,1552699737,66,-20.01,148.25,89.01,6.93
348,General Pico,76,AR,1552699757,79,-35.66,-63.75,66.9,5.06
349,Karksi-Nuia,88,EE,1552699696,92,58.1,25.55,37.0,5.01
350,Togur,68,RU,1552699744,94,58.36,82.83,32.57,9.42
351,Dvinskoy,92,RU,1552699760,86,62.16,45.12,27.21,8.3
352,Aba,48,NG,1552699761,94,5.11,7.36,73.92,3.15
353,Tongliao,32,CN,1552699762,75,43.61,122.27,29.55,5.06
354,Payo,32,ID,1552699764,92,-3.75,103.64,73.38,2.82
355,Sisimiut,0,GL,1552699639,46,66.94,-53.67,-16.53,1.7
356,Port-Gentil,36,GA,1552699766,98,-0.72,8.78,81.39,3.15
357,Nalut,0,LY,1552699767,70,31.86,10.98,45.12,2.93
358,Nchelenge,20,ZM,1552699768,93,-9.35,28.74,66.0,2.82
359,Ilulissat,76,GL,1552697400,65,69.22,-51.1,3.2,3.36
360,Sao Miguel do Araguaia,20,BR,1552699771,85,-13.28,-50.16,80.58,2.71
361,Palana,0,RU,1552699772,58,59.08,159.95,4.71,3.38
362,Port Lincoln,0,AU,1552699773,79,-34.72,135.86,71.04,10.54
363,Kichera,92,RU,1552699774,89,55.93,110.1,19.29,2.26
364,Lundazi,8,ZM,1552699775,78,-12.29,33.17,69.69,8.52
365,Berlevag,68,NO,1552699776,100,70.86,29.09,28.11,8.97
366,Tuensang,0,IN,1552699778,96,26.24,94.81,53.36,1.7
367,Fairbanks,75,US,1552699507,28,64.84,-147.72,42.8,10.29
368,Amga,48,RU,1552699780,69,60.89,131.98,3.86,3.15
369,Cravinhos,0,BR,1552698000,88,-21.34,-47.73,77.0,4.7
370,Bonfim,75,BR,1552698000,83,-20.33,-44.24,71.6,4.7
371,Taltal,0,CL,1552699784,78,-25.41,-70.49,62.09,1.7
372,Ouadda,12,CF,1552699785,26,8.07,22.4,80.04,11.77
373,Yerbogachen,88,RU,1552699715,93,61.28,108.01,27.75,5.73
374,Loiza,40,PR,1552699709,78,18.43,-65.88,77.0,9.17
375,Sitka,0,US,1552698980,44,37.17,-99.65,44.01,4.38
376,Kenora,75,CA,1552699363,73,49.76,-94.48,23.0,4.7
377,Tomatlan,36,MX,1552699745,66,19.93,-105.25,77.97,4.5
378,Saint-Joseph,75,FR,1552699682,93,43.56,6.97,62.01,5.82
379,El Sauzal,90,AR,1552698000,100,-24.3,-64.96,68.0,2.26
380,Ust-Tsilma,0,RU,1552699798,82,65.44,52.15,12.99,6.06
381,Boyolangu,20,ID,1552699799,91,-8.09,111.9,74.46,4.94
382,Cabanas,90,ES,1552699739,100,43.42,-8.16,46.0,2.24
383,Barga,0,IT,1552699776,100,44.07,10.48,51.01,2.24
384,Ankang,76,CN,1552699804,62,32.73,108.99,55.05,2.62
385,Uglovskoye,76,RU,1552699805,92,51.36,80.19,28.68,8.77
386,Palmer,0,AU,1552699693,37,-34.85,139.16,82.0,4.27
387,Moree,40,AU,1552699802,42,-29.46,149.84,84.0,12.75
388,Iquitos,40,PE,1552694400,83,-3.75,-73.25,80.6,4.7
389,Pontal do Parana,75,BR,1552699785,100,-25.67,-48.51,78.01,3.36
390,Awjilah,56,LY,1552699811,86,29.14,21.3,56.04,7.54
391,Bay Roberts,75,CA,1552699714,74,47.58,-53.28,30.99,18.34
392,Okha,24,RU,1552699814,100,53.59,142.95,24.99,4.63
393,Dong Hoi,92,VN,1552699615,100,17.48,106.6,74.01,8.41
394,Solnechnyy,0,RU,1552699816,67,50.72,136.64,32.01,3.29
395,Nurobod,0,UZ,1552698000,32,40.91,69.8,53.6,6.93
396,Lahij,92,YE,1552699818,97,13.06,44.88,69.18,2.06
397,Iqaluit,75,CA,1552699362,71,63.75,-68.52,5.0,3.36
398,Ngunguru,8,NZ,1552698488,72,-35.62,174.5,75.99,8.99
399,Pangai,40,TO,1552698000,79,-19.8,-174.35,84.2,12.75
400,Praia da Vitoria,20,PT,1552698951,87,38.73,-27.07,59.0,18.28
401,Cidreira,44,BR,1552699272,81,-30.17,-50.22,72.3,11.77
402,Atbasar,0,KZ,1552699826,83,51.81,68.36,15.45,9.22
403,Isla Vista,1,US,1552699755,51,34.41,-119.86,66.0,5.82
404,Talara,36,PE,1552699543,63,-4.58,-81.27,80.58,8.08
405,Moskovskoye,90,RU,1552698000,100,45.29,41.92,35.6,8.95
406,Ayorou,0,NE,1552699830,27,14.73,0.92,71.61,10.22
407,Puerto Escondido,40,MX,1552696800,74,15.86,-97.07,82.4,5.82
408,Santiago,0,CL,1552699824,28,-33.44,-70.65,73.0,10.29
409,Maymyo,20,MM,1552696200,47,22.03,96.47,77.0,3.36
410,Cascavel,75,BR,1552698000,88,-24.96,-53.44,71.6,9.17
411,Tocopilla,0,CL,1552699625,96,-22.09,-70.2,64.83,4.5
412,Kozmodemyansk,0,RU,1552698000,67,56.33,46.55,19.4,6.71
413,Baghdad,0,IQ,1552698000,81,33.3,44.38,51.8,6.93
414,Biggar,0,GB,1552699818,80,55.62,-3.52,41.0,12.75
415,Baruun-Urt,68,MN,1552699607,73,46.68,113.28,25.68,8.63
416,Lasa,40,CY,1552698902,76,34.92,32.53,59.0,10.29
417,Albanel,90,CA,1552699731,75,48.88,-72.44,42.8,13.87
418,Surt,88,LY,1552699845,98,31.21,16.59,57.21,12.01
419,Rizhao,0,CN,1552699846,34,35.43,119.46,58.29,16.71
420,Merauke,68,ID,1552699850,97,-8.49,140.4,83.04,13.8
421,Chuzhou,12,CN,1552699800,45,32.25,118.33,64.99,7.87
422,Maniitsoq,32,GL,1552699285,90,65.42,-52.9,1.2,3.71
423,Qaracala,0,AZ,1552699853,97,39.81,48.95,43.08,5.41
424,Swan Hill,0,AU,1552699855,81,-35.34,143.56,75.39,8.77
425,Gorele,75,TR,1552697400,93,41.03,39.0,48.2,2.24
426,Bima,92,ID,1552699857,100,-8.45,118.73,78.18,3.18
427,Paita,32,PE,1552699858,76,-5.09,-81.11,76.47,5.19
428,Sydney,75,AU,1552699686,69,-33.85,151.22,73.99,17.22
429,Beaupre,90,CA,1552699573,75,47.04,-70.9,42.01,9.17
430,Salina Cruz,8,MX,1552699861,58,16.18,-95.2,81.96,14.7
431,Qingdao,0,CN,1552698000,67,36.09,120.35,50.0,17.9
432,Pleasanton,1,US,1552699641,45,37.66,-121.87,69.01,4.5
433,Esperance,20,TT,1552699819,83,10.24,-61.45,78.8,8.05
434,Redcliffe,92,GB,1552699864,81,51.45,-2.59,51.8,11.41
435,Wuwei,0,CN,1552699813,54,37.93,102.64,41.82,3.18
436,Xingyi,0,CN,1552699869,49,24.19,102.82,70.98,10.11
437,Kano,8,NG,1552698000,26,11.99,8.53,78.8,5.82
438,Tianpeng,92,CN,1552699871,85,28.88,112.34,60.99,2.62
439,Lishu,76,CN,1552699872,63,43.31,124.32,36.51,11.56
440,Vanderhoof,12,CA,1552699873,71,54.02,-124.02,30.66,2.73
441,Prince Albert,75,CA,1552698000,79,53.2,-105.75,28.4,8.05
442,Nurota,88,UZ,1552698000,58,40.56,65.69,53.6,11.41
443,Lingao,12,CN,1552699877,76,19.91,109.69,76.74,12.35
444,Mbanza-Ngungu,92,CD,1552699878,98,-5.25,14.87,69.18,3.74
445,Huanren,68,CN,1552699879,57,41.26,125.37,33.45,5.75
446,Rocky Mountain House,76,CA,1552699776,63,52.38,-114.92,34.46,2.37
447,Leh,44,IN,1552699882,78,34.16,77.58,-6.33,1.61
448,Lata,0,IN,1552699883,65,30.78,78.62,41.01,2.17
449,Kerema,88,PG,1552699884,94,-7.96,145.78,75.75,4.41
450,Acari,20,BR,1552699886,92,-6.44,-36.64,70.53,6.64
451,Mehamn,80,NO,1552699706,91,71.03,27.85,29.28,6.62
452,ChengDe,0,CN,1552699888,28,40.97,117.93,51.72,6.08
453,Port Keats,8,AU,1552699697,100,-14.25,129.55,82.97,4.61
454,Namasuba,0,UG,1552699890,84,0.69,32.42,61.44,2.95
455,Verkhoyansk,20,RU,1552699680,55,67.55,133.39,-19.82,2.37
456,Muroto,40,JP,1552698000,37,33.37,134.14,53.6,11.41
457,Paracatu,32,BR,1552699830,84,-17.22,-46.87,73.23,3.85
458,Necochea,88,AR,1552699690,85,-38.55,-58.74,70.0,5.01
459,Marsabit,0,KE,1552699896,68,2.34,37.99,74.22,11.12
460,Mildura,0,AU,1552699074,38,-34.18,142.16,82.0,6.93
461,Yumen,0,CN,1552699898,44,40.29,97.04,44.97,5.97
462,Chancay,0,PE,1552699806,88,-11.56,-77.27,73.0,9.17
463,Fethiye,40,TR,1552699726,93,36.62,29.12,46.4,3.36
464,Kahului,40,US,1552699862,58,20.89,-156.47,82.99,17.22
465,Kroya,0,ID,1552699903,76,-6.5,108.06,85.38,2.39
466,Obo,20,CF,1552699904,78,5.39,26.49,70.35,2.84
467,Meadow Lake,75,CA,1552694400,69,54.13,-108.44,35.6,6.93
468,Ahipara,68,NZ,1552699906,69,-35.17,173.16,76.38,7.2
469,Bougouni,0,ML,1552699907,40,11.42,-7.49,71.88,6.2
470,Bomet,0,KE,1552699909,96,-0.78,35.34,51.36,8.77
471,Khor,0,RU,1552699910,64,47.88,134.96,36.42,6.76
472,Portland,75,US,1552699672,31,45.52,-122.67,62.6,5.82
473,Son La,76,VN,1552699806,79,21.32,103.9,67.29,2.39
474,Juli,36,PE,1552699914,100,-16.21,-69.46,37.86,2.84
475,Kitimat,90,CA,1552698000,80,54.02,-128.69,41.0,2.24
476,Kalinovskaya,90,RU,1552698000,93,43.57,45.52,41.0,4.47
477,Lagunillas,36,VE,1552699917,96,8.5,-71.39,58.47,1.72
478,Griffith,8,AU,1552699517,42,-34.29,146.06,81.0,14.99
479,Okato,32,NZ,1552699227,68,-39.19,173.88,75.99,1.99
480,Orlik,0,RU,1552699921,63,52.51,99.83,29.49,2.51
481,Beringovskiy,76,RU,1552699922,89,63.05,179.32,3.57,18.05
482,Buin,0,CL,1552699723,28,-33.73,-70.74,73.0,10.29
483,Zeya,0,RU,1552699925,53,53.74,127.27,30.12,2.95
484,Nelson Bay,90,AU,1552699906,88,-32.72,152.14,72.0,6.93
485,Wanaka,0,NZ,1552699927,68,-44.7,169.14,64.95,2.73
486,Singapore,75,MY,1552698967,74,1.29,103.85,84.2,9.17
487,Ayan,88,TR,1552699929,97,40.67,33.6,33.09,2.62
488,Saint-Francois,90,FR,1552699824,81,46.42,3.91,50.0,5.82
489,Nago,0,IT,1552699923,93,45.88,10.89,48.99,2.24
490,Olinda,75,EC,1552699828,83,-2.03,-79.75,81.0,8.05
491,Carutapera,80,BR,1552699934,91,-1.2,-46.02,79.26,6.31
492,Hovd,0,NO,1552699865,79,63.83,10.7,37.0,10.29
493,Avera,1,US,1552699863,77,33.19,-82.53,64.4,8.05
494,Santa Rosa,92,AR,1552699939,96,-36.62,-64.29,61.26,8.66
495,Sampit,56,ID,1552699940,89,-2.54,112.95,83.49,9.22
496,Crotone,0,IT,1552699941,100,39.09,17.12,55.86,10.45
497,Kirkuk,92,IQ,1552699943,91,35.47,44.4,49.65,10.33
498,Cravo Norte,8,CO,1552699944,77,6.3,-70.2,78.18,4.29
499,Salta,90,AR,1552698000,100,-24.79,-65.41,68.0,3.36
500,Balkhash,0,KZ,1552699706,81,46.84,74.98,26.04,5.95
501,Opuwo,20,NA,1552699956,91,-18.06,13.84,58.11,2.95
502,Bundaberg,92,AU,1552699809,94,-24.87,152.35,81.0,6.93
503,Pangody,44,RU,1552699958,79,65.85,74.49,1.59,13.24
504,Kendari,68,ID,1552699959,87,-3.99,122.52,81.06,4.52
505,Nezhinka,0,RU,1552698000,84,51.77,55.37,6.8,4.47
506,Gyanpur,0,IN,1552698000,72,25.33,82.47,62.6,4.7
507,Waitati,20,NZ,1552699960,69,-45.75,170.57,64.99,13.0
508,De-Kastri,12,RU,1552699964,90,51.48,140.77,31.92,4.97
509,Bongouanou,48,CI,1552699965,89,6.65,-4.2,76.74,3.74
510,Hasaki,75,JP,1552699174,71,35.73,140.83,54.0,10.29
511,Roald,56,NO,1552699906,59,62.58,6.12,35.6,17.22
512,Barra do Garcas,12,BR,1552699809,88,-15.89,-52.26,75.48,2.95
513,Huambo,36,AO,1552699970,97,-12.78,15.73,55.86,2.51
514,Denpasar,40,ID,1552696200,94,-8.65,115.22,77.0,2.24
515,Ko Samui,20,TH,1552698000,74,9.54,99.94,84.2,10.29
516,Areosa,12,PT,1552699953,100,41.72,-8.86,55.99,1.16
517,Kawalu,12,ID,1552699984,74,-7.38,108.21,78.72,2.95
518,Atar,0,MR,1552699985,30,20.52,-13.05,59.19,7.31
519,Ostrovnoy,64,RU,1552699772,83,68.05,39.51,22.49,15.79
520,Chicama,75,PE,1552698000,78,-7.84,-79.15,73.4,9.17
521,Polunochnoye,48,RU,1552699718,68,60.87,60.43,18.71,11.32
522,Paamiut,24,GL,1552699989,100,61.99,-49.67,21.84,4.18
523,Hennebont,90,FR,1552699945,81,47.81,-3.27,52.0,16.11
524,Santa Isabel do Rio Negro,44,BR,1552699992,92,-0.41,-65.02,78.09,2.39
525,Along,100,IN,1552699858,95,28.17,94.8,57.12,1.39
526,Husavik,0,CA,1552699844,68,50.56,-96.99,21.0,6.53
527,Pimenta Bueno,8,BR,1552699995,95,-11.68,-61.19,73.95,2.17
528,Tevaitoa,76,PF,1552699828,100,-16.78,-151.5,82.59,5.97
529,Moba,24,CD,1552699997,95,-7.04,29.77,69.09,4.18
530,Tabou,20,CI,1552699999,96,4.42,-7.36,84.12,9.78
531,Cabedelo,0,BR,1552698000,88,-6.97,-34.84,77.0,4.7
532,Kissidougou,32,GN,1552700001,54,9.19,-10.1,72.06,3.4
533,Monrovia,40,LR,1552698000,94,6.33,-10.8,78.8,6.31
534,Walvis Bay,32,NA,1552698136,82,-22.95,14.51,62.6,9.17
535,Beaumont,75,US,1552699709,44,30.09,-94.1,59.0,4.7
536,Zhanaozen,76,KZ,1552700006,47,43.35,52.85,41.01,13.02
537,Esso,36,RU,1552700007,71,55.93,158.7,11.67,2.62
538,Darnah,0,LY,1552700008,99,32.77,22.64,59.91,23.2
539,Grand-Santi,76,GF,1552700010,77,4.27,-54.38,76.83,3.96
540,Pedernales,92,EC,1552699958,91,0.07,-80.05,73.95,2.39
541,Erzin,75,TR,1552699743,93,36.95,36.2,55.0,3.36
542,Saint Anthony,1,US,1552699477,51,43.97,-111.68,37.4,6.93
543,Daska,8,PK,1552698000,93,32.34,74.35,53.6,4.07
544,Arman,44,RU,1552700015,73,59.7,150.17,11.4,3.74
